"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s додано в ваш список бажань. Натисніть <a href=""%2$s""> сюди </a>, щоб продовжити вибір товарів."
"%1$s has been added to your wishlist.","%1$s додано в ваш список бажань."
"%s's Wishlist","Список бажань %s"
"Product Details and Comment","Інформація про товар та коментарі"
"%1$s has been updated in your wishlist.", "%1$s оновлений в вашому листі побажань."
"* Required Fields","* позначені обов'язкові поля"
"Add All to Cart","Додати всі товари в кошик"
"Add to Cart","Додати в кошик"
"Add to Wishlist","Додати в списку бажань"
"Added On","Додано"
"Are You sure?","Ви впевнені?"
"Are you sure you want to remove this product from your wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Are you sure you would like to remove this item from the wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Back","Назад"
"Can't save description %s","Неможливо зберегти опис %s"
"Cannot create wishlist","Неможливо створити список бажань"
"Cannot load wishlist item","Неможливо завантажити позицію списку бажань"
"Cannot move item to wishlist","Неможливо перемістити позицію списку бажань"
"Cannot specify product","Неможливо визначити товар"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Позначте галочку, якщо бажаєте додати лінк до стрічки новин rss до вашого списку бажань."
"Comment","Нотатки"
"Email Sender","Email відправника"
"Email Template","Email шаблон"
"Email address can't be empty.","Поле Email адреси не може бути пустим."
"Email addresses, separated by commas","Email адреси,задані через кому"
"Enabled","Увімкнено"
"General Options","Загальні налаштування"
"Go to Wishlist","Перейти до списку бажань"
"Last Added Items","Останні додані товари"
"Message","Повідомлення"
"My Wishlist","Мій список бажань"
"My Wishlist (%d item)","Мій список бажань (%d шт.)"
"My Wishlist (%d items)","Мій список бажань (%d шт.)"
"My Wishlist","Мій список бажань"
"My Wishlist <small>(%d)</small>","Мій список бажань <small>(%d)</small>"
"My Wishlist Link","Мій список бажань. Посилання"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Будь-ласка, введіть дійсні email адреси через кому. Наприклад Ivandoe@domain.com, Ivansmith@domain.com."
"Please, enter your comments...","Будь-ласка, введіть Вашу нотатку..."
"Product","Продукт"
"RSS Feed","Стрічка новин RSS"
"RSS link to %s's wishlist","RSS лінк на список бажань %s"
"Remove Item","Видалити товар"
"Share Wishlist","Надіслати список бажань"
"Share Your Wishlist","Надішліть Ваш список бажань"
"Share options","Опції надсилання"
"Sharing Information","Поширення інформації"
"There was an error while adding item to wishlist.","Сталась помилка при додаванні товару до списку бажань."
"There was an error while adding item to wishlist: %s","Сталась помилка при додаванні товару до списку бажань: %s"
"There was an error while deleting item from wishlist.","Сталась помилка при видаленні товару зі списку бажань."
"There was an error while deleting item from wishlist: %s","Сталась помилка при видаленні товару зі списку бажань: %s"
"This product(s) is currently out of stock:","На даний момент цей товар відсутній на складі:"
"Update Wishlist","Оновити список бажань"
"View Product","Переглянути продукт"
"Wishlist","Список бажань"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Надсилання списку бажань"
"Wishlist is empty now.","Список бажань порожній."
"You have no items in your wishlist.","Ваш список бажань пустий."
"You input not valid email address.","Ви ввели невірну email адресу."
"Your Wishlist was successfully shared","Ваш список бажань був успішно надісланий"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Мій список бажань"
"Are you sure you want to remove this product from your wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Are you sure you would like to remove this item from the wishlist?","Ви впевнені, що бажаєти видалити цей товар з Вашого списку бажань?"
"Are You sure?","Ви впевнені?"
"Please, enter your comments...","Please, enter your comments..."
